name,category,ratings,reviews,tags,url,stars,desc,parent,flavor
'98 Aloha White Widow,Hybrid,8,2,"relaxed, giggly, euphoric, sleepy, tingly, dry-mouth, diesel, pungent, skunk, ammonia, earthy.",https://www.leafly.com/Hybrid/98-white-widow,4.5,"The ‘98 Aloha White Widow is an especially potent cut of White Widow that has grown in renown alongside Hawaiian legends like Maui Wowie and Kona Gold. This White Widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. Its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. This one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation. ‘98 Aloha White Widow is available from Pua Mana 1st Hawaiian Pakalolo Seed Bank.",.,"Diesel, Pungent, Skunk."
$100 OG,Hybrid,541,266,"euphoric, happy, energetic, uplifted, relaxed, dry-mouth, dry-eyes, dizzy, paranoid, headache, earthy, sweet, skunk, tropical, butter, pain, insomnia, lack-of-appetite, inflammation, muscle-spasms, anxiety, ptsd, addadhd, arthritis, spinal-cord-injury.",https://www.leafly.com/Hybrid/100-og,3.96,"$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.",OG Kush.,"Earthy, Sweet, Skunk."
Alenuihaha,Hybrid,6,2,"energetic, euphoric, happy, creative, aroused, anxious, dizzy, dry-mouth, paranoid, ammonia, sweet, tropical, earthy, flowery, depression, fatigue, stress.",https://www.leafly.com/Hybrid/alenuihaha,2.335,"<U+02BB>Alenuihaha is a sativa-dominant hybrid by Pua Mana 1st Hawaiian Pakalolo Seed Bank named after the sea channel that separates the Kona side of the Big Island and the island of Maui. By blending Kona Gold and Maui Wowie, <U+02BB>Alenuihaha achieves an uplifted and happy stimulation that doesn’t overclock the consumer’s heart or mind. This strain’s healthy yield and consistently positive effects make it a delightful and inspiring choice for consumers seeking relief from depression and fatigue.","Kona Gold, Maui Wowie.","Ammonia, Sweet, Tropical."
1024,Sativa,38,23,"uplifted, energetic, giggly, creative, relaxed, anxious, dry-eyes, dry-mouth, paranoid, headache, pine, sage, tea, woody, blueberry, stress, depression, fatigue, pain, inflammation, anxiety, arthritis, bipolar-disorder, addadhd, fibromyalgia.",https://www.leafly.com/Sativa/1024,4.315,"1024 is a sativa-dominant hybrid bred in Spain by Medical Seeds Co. The breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a THC powerhouse with a sweet and spicy bouquet. Subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. One specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense.",.,"Pine, Sage, Tea."
13 Dawgs,Hybrid,15,5,"relaxed, uplifted, tingly, happy, euphoric, anxious, headache, apricot, blue-cheese, citrus, earthy, grapefruit, fatigue, cramps, headaches, lack-of-appetite, stress, addadhd, alzheimers, anxiety, crohns-disease, gastrointestinal-disorder.",https://www.leafly.com/Hybrid/13-dawgs,4.4,"13 Dawgs is a hybrid of G13 and Chemdawg genetics bred by Canadian LP Delta 9 BioTech. The two potent strains mix to create a balance between indica and sativa effects. 13 Dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. The effects of 13 Dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.","G13, Chemdawg.","Apricot, Blue Cheese, Citrus."
24k Gold,Hybrid,110,73,"relaxed, happy, euphoric, uplifted, sleepy, dry-mouth, dry-eyes, dizzy, headache, citrus, earthy, orange, pungent, sweet, stress, pain, depression, insomnia, headaches, anxiety, ptsd, addadhd, bipolar-disorder, arthritis.",https://www.leafly.com/Hybrid/24k-gold,4.665,"Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users!","Kosher Kush, Tangie.","Citrus, Earthy, Orange."
3 Kings,Hybrid,294,183,"relaxed, happy, euphoric, uplifted, creative, dry-mouth, dizzy, dry-eyes, anxious, paranoid, earthy, pungent, diesel, pine, citrus, stress, pain, lack-of-appetite, nausea, headaches, addadhd, anxiety, migraines, cancer, crohns-disease.",https://www.leafly.com/Hybrid/3-kings,4.38,"The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings’ potency. Medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.","Headband, Sour Diesel, OG Kush.","Earthy, Pungent, Diesel."
303 OG,Indica,78,53,"relaxed, happy, euphoric, creative, uplifted, anxious, dizzy, dry-eyes, dry-mouth, pungent, citrus, spicyherbal, pine, diesel, stress, pain, depression, headaches, fatigue, anxiety, migraines, hivaids, multiple-sclerosis, pms.",https://www.leafly.com/Indica/303-og,4.28,"The indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.","Pre-98 Bubba Kush, Chemdawg.","Citrus, Pungent, Earthy."
3D CBD,Sativa,16,12,"relaxed, uplifted, creative, focused, tingly, woody, earthy, flowery, spicyherbal, pine, pain, muscle-spasms, stress, inflammation, spasticity, anxiety, ptsd, bipolar-disorder, epilepsy, pms.",https://www.leafly.com/Sativa/3d-cbd,4.44,"3D CBD from Snoop Dogg’s branded line of cannabis strains was crafted with patients in mind. With a THC:CBD ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. Consumers susceptible to THC-induced anxiety may also appreciate the sobering, relaxing balance CBD has to offer.",.,"Woody, Earthy, Flowery."
3rd Coast Panama Chunk,Hybrid,2,2,"energetic, happy, uplifted, pine, diesel, depression, lack-of-appetite, pain.",https://www.leafly.com/Hybrid/3rd-coast-panama-chunk,5,"3rd Coast Panama Chunk by Bedford Grow is a cross between East Coast Panama Chunk (Panama F7 x Deep Chunk) and Sour Diesel. This vigorous strain creates dense, resinous buds that reek of pine and fuel. Panama Chunk is a potent and versatile hybrid that provides immediate mood elevation and stress relief, making it ideal after a long day. The strain’s varied cerebral and physical effects help consumers abate anxiety and insomnia while also tending to migraines and muscular pain.","Deep Chunk, Sour Diesel.","Pine, Diesel."
3X Crazy,Indica,104,80,"relaxed, happy, uplifted, sleepy, euphoric, anxious, dry-mouth, paranoid, dry-eyes, dizzy, earthy, pungent, grape, sweet, skunk, stress, depression, insomnia, pain, inflammation, anxiety, migraines, pms, addadhd, ptsd.",https://www.leafly.com/Indica/3x-crazy,4.45,"Also known as Optimus Prime, the indica-dominant 3X Crazy is a three-way cross between OG Kush, Bubba Kush, and Granddaddy Purple. Its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its Bubba Kush parent. This indica will leave you sedated with soothing full-body effects, but not before a brief phase of clear-headed cerebral psychoactivity. The relaxing effects induced by 3X Crazy can be used to treat a variety of severe symptoms, some of which include pain, spasms, tension, and insomnia.","OG Kush, Bubba Kush, Granddaddy Purple.","Earthy, Pungent, Grape."
